song_title,tempo_id,synch,digital_perf,other,digital_mech,mech,perf,song_total
Feel Your Body,4858081,0.00,0.00,0.00,0.01,0.35,0.00,0.36
Feeling A Way,7251184,0.00,0.05,0.00,0.15,0.00,0.00,0.20
Fighter,7252011,0.00,0.00,0.00,0.69,0.00,0.00,0.69
Finch,6718038,0.00,0.02,0.00,0.27,0.00,0.02,0.31
First Sign,7086384,0.00,0.02,0.00,0.88,0.00,0.00,0.90
Flamur,6718042,0.00,0.00,0.00,0.00,0.67,0.00,0.67
Flyep,6718043,0.00,0.00,0.00,0.00,0.05,0.00,0.05
Focus,6718044,0.00,0.01,0.00,0.00,0.00,0.00,0.01
Following The Sun,4857797,0.58,5.99,0.99,31.84,25.54,98.75,163.69
Foodie,6718073,0.00,0.00,0.00,0.00,0.55,0.00,0.55
Fool Fool Fool,5409051,0.00,0.00,0.00,0.00,0.55,0.00,0.55
For Your Love,6647152,0.00,0.09,0.00,0.04,4.03,0.00,4.16
Forer Selv,5409220,0.00,0.00,0.00,0.00,0.64,0.03,0.67
Forgiveness,7066815,0.00,10.36,0.00,21.05,3.68,36.01,71.10
Forgiveness,733999,0.00,0.01,0.00,0.03,0.37,0.82,1.23
Forgiver,6718074,0.00,0.00,0.00,0.00,0.31,0.00,0.31
Forrest,6718076,0.00,0.00,0.00,0.00,0.32,0.00,0.32
